"Timestamp","Gender","Age( in years)","District","What is the highest level of education completed by you?","Occupation","Average monthly income (in Sri Lankan Rupees)","How did you get to know about the Banking Mobile App?","How long have you used the Banking Mobile App?","How often do you make a transaction?","What type of transactions do you currently make using the banking mobile app?","Which factor motivated you to use the banking mobile app?","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using banking mobile app is comfortable.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am happy with the user interface of the  banking mobile app.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using the  banking mobile app is secure.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am satisfied with the level of data and information security level offered by the bank.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [When considering the overall service, I am satisfied with using the banking mobile app.]","Would you recommend using Banking Mobile App for you friend?"
"2020/11/22 6:07:50 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Above 150000","Friends or Family","More than 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Strongly agree","Yes"
"2020/11/22 6:41:59 PM GMT+5:30","Male","19 to 30","Colombo","Graduate","Private Sector Employee","Between 120001 to 150000","By a commercial advertisement.","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 6:48:36 PM GMT+5:30","Male","19 to 30","badulla","Graduate","Private Sector Employee","Above 150000","Friends or Family","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement","Reduced time of transaction;Safe service","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat disagree","Neither agree Nor disagree","Maybe"
"2020/11/22 7:46:23 PM GMT+5:30","Male","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Yes"
"2020/11/22 7:55:53 PM GMT+5:30","Male","19 to 30","Kandy","Graduate","Private Sector Employee","Above 150000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Bill payment","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 9:02:23 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 90001 to 120000","Bank directly","Less than 1 year","Occasionally (less than once a month)","Balance inquiry / Bank statement","Ease of use","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Maybe"
"2020/11/22 9:35:25 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Occasionally (less than once a month)","Savings","Ease of use","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Yes"
"2020/11/22 10:33:08 PM GMT+5:30","Male","19 to 30","Gampaha","Post Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/23 2:08:37 AM GMT+5:30","Female","19 to 30","Kurunegala","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Daily –Several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes"
"2020/11/23 7:58:14 AM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 120001 to 150000","Bank directly","Less than 1 year","Weekly-Once","Money transfer;Bill payment","Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/23 8:51:44 AM GMT+5:30","Female","19 to 30","Gampaha","Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","Between 1 to 3 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/23 1:56:29 PM GMT+5:30","Female","31 to 40","Mathara","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Yes"
"2020/11/23 5:34:25 PM GMT+5:30","Male","31 to 40","Kandy","Graduate","Government Employee","Between 90001 to 120000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat agree","Yes"
"2020/11/24 9:02:16 PM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","Friends or Family","Less than 1 year","Monthly-several times","Balance inquiry / Bank statement;Bill payment","Ease of use","Strongly agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Somewhat agree","Yes"
